HexSignature,Extension,Offset
2321,script,0
D4C3B2A1,pcap,0
A1B2C3D4,pcap,0
4D3CB2A1,pcap,0
A1B23C4D,pcap,0
0A0D0D0A,pcapng,0
EDABEEDB,rpm,0
53514C69746520666F726D6174203300,sqlitedb/sqlite/db,0
53503031,bin,0
100,ico,0
6674797068656963667479706d,heic,4
1F9D,z/tar.z,0
1FA0,z/tar.z,0
62706C697374,plist,0
425A68,bz2,0
474946383761,gif,0
49492A00,tif/tiff,0
4D4D002A,tif/tiff,0
49492B00,tif/tiff,0
4D4D002B,tif/tiff,0
FFD8FFDB,jpg/jpeg,0
FFD8FFE000104A4649460001,jpg/jpeg,0
FFD8FFEE,jpg/jpeg,0
FFD8FFE1????457869660000,jpg/jpeg,0
FFD8FFE0,jpg,0
4C5A4950,lz,0
303730373037,cpio,0
4D5A,exe/dll/mui/sys/scr/cpl/ocx/ax/iec/ime/rs/tsp/fon/efi,0
534D534E46323030,ssp,0
5A4D,exe,0
504B0708,zip/aar/apk/docx/epub/ipa/jar/kmz/maff/msix/odp/ods/odt/pk3/pk4/pptx/usdz/vsdx/xlsx/xpi,0
504B0506,zip/aar/apk/docx/epub/ipa/jar/kmz/maff/msix/odp/ods/odt/pk3/pk4/pptx/usdz/vsdx/xlsx/xpi,0
504B0304,zip/aar/apk/docx/epub/ipa/jar/kmz/maff/msix/odp/ods/odt/pk3/pk4/pptx/usdz/vsdx/xlsx/xpi,0
526172211A0700,rar,0
526172211A070100,rar,0
7F454C46,none/axf/bin/elf/o/out/prx/puff/ko/mod/so,0
89504E470D0A1A0A,png,0
C9,com,0
CAFEBABE,class,0
EFBBBF,txt/others,0
FFFE,txt/others,0
FEFF,txt/others,0
FFFE0000,txt/others,0
0000FEFF,txt/others,0
0EFEFF,txt/others,0
25215053,ps,0
252150532D41646F62652D332E3020455053462D332E30,eps/epsf,0
252150532D41646F62652D332E3120455053462D332E30,eps/epsf,0
4954534603000000,chm,0
60 00 00 00,hlp,0
255044462D,pdf,0
3026B2758E66CF11A6D900AA0062CE6C,asf/wma/wmv,0
38425053,psd,0
52494646????????57415645,wav,0
52494646????????41564920,avi,0
FFFBFFF3FFF2,mp3,0
494433,mp3,0
424D,bmp/dib,0
4344303031,iso,0
4344303031,cdi,0
53494D504C4520203D202020202020202020202020202020202020202054,fits,0
664C6143,flac,0
4D546864,mid/midi,0
D0CF11E0A1B11AE1,doc/xls/ppt/msi/msg,0
6465780A30333500,dex,0
4B444D,vmdk,0
23204469736B2044657363726970746F,vmdk,0
43723234,crx,0
41474433,fh8,0
05070000424F424F0507000000000000000000000001,cwk,0
0607E100424F424F0607E10000000000000000000001,cwk,0
455202000000,toast,0
8B455202000000,toast,0
6B6F6C79,dmg,end–512
78617221,xar,0
504D4F43434D4F43,dat,0
4E45531A,nes,0
7.57374617200303E+031,tar,257
4F4152 ??,oar,0
746F7833,tox,0
4D4C5649,MLV,0
44434D015041333050413330,None,0
377ABCAF271C,7z,0
1F8B,gz/tar.gz,0
FD377A585A00,xz/tar.xz,0
04224D18,lz4,0
4D534346,cab,0
2D2D2D2D2D424547494E2043455254494649434154452D2D2D2D2D,crt/pem,0
2D2D2D2D2D424547494E20434552544946494341544520524551554553542D2D2D2D2D,csr/pem,0
2D2D2D2D2D424547494E2050524956415445204B45592D2D2D2D2D,key/pem,0
2D2D2D2D2D424547494E204453412050524956415445204B45592D2D2D2D2D,key/pem,0
2D2D2D2D2D424547494E205245412050524956415445204B45592D2D2D2D2D,key/pem,0
50755454592D557365722D4B65792D46696C652D323A,ppk,0
50755454592D557365722D4B65792D46696C652D333A,ppk,0
2D2D2D2D2D424547494E204F50454E5353482050524956415445204B45592D2D2D2D2D,None,0
2D2D2D2D2D424547494E2053534832204B45592D2D2D2D2D,pub,0
3C3F786D6C20,xml,0
3C003F0078006D006C0020,xml,0
003C003F0078006D006C0020,xml,0
3C0000003F000000780000006D0000006C00000020000000,xml,0
0000003C0000003F000000780000006D0000006C00000020,xml,0
4C6FA7949340,xml,0
0061736D,wasm,0
CF8401,lep,0
435753,swf,0
465753,swf,0
213C617263683E0A,deb,0
52494646?? ?? ?? ??57454250,webp,0
27051956,None,0
7B5C72746631,rtf,0
54415045,None,0
47,ts/tsv/tsa/mpg/mpeg,0
000001BA,m2p/vob/mpg/mpeg,0
000001B3,mpg/mpeg,0
6674797069736F6D,mp4,4
667479704D534E56,mp4,4
7801,zlib,0
785E,zlib,0
789C,zlib,0
78DA,zlib,0
7820,zlib,0
787D,zlib,0
78BB,zlib,0
78F9,zlib,0
62767832,lzfse,0
4F5243,orc,0
4F626A01,avro,0
53455136,rc,0
1B4C7561,luac,0
626F6F6B000000006D61726B00000000,alias,0
5B5A6F6E655472616E736665725D,Identifier,0
52656365697665643A,eml,0
20020162A01EAB0702000000,tde,0
3748030200000000583530394B4559,kdb,0
85????03,pgp,0
28B52FFD,zst,0
5253564B44415441,rs,0
49536328,cab,0
50310A,pbm,0
50340A,pbm,0
50320A,pgm,0
50350A,pgm,0
50330A,ppm,0
50360A,ppm,0
D7CDC69A,wmf,0
67696D7020786366,xcf,0
2F2A2058504D202A2F,xpm,0
414646,aff,0
3C3C3C204F7261636C6520564D205669727475616C426F78204469736B20496D616765203E3E3E,vdi,0
636F6E6563746978,vhd,0
7668647866696C65,vhdx,0
49735A21,isz,0
444141,daa,0
4C664C65,evt,0
456C6646696C65,evtx,0
73646266,sdb,8
504D4343,grp,0
4B434D53,icm,0
72656766,dat/hiv,0
2142444E,pst,0
445241434F,drc,0
47524942,grib/grib2,0
424C454E444552,blend,0
0000000C4A584C200D0A870A,jxl,0
FF0A,jxl,0
4F54544F,otf,0
4D5357494D000000D000000000,wim/swm/esd,0
212D31534C4F421F,slob,0
ACED,None,0
000100005374616E6461726420414345204442,accdb,0
000100005374616E64617264204A6574204442,mdb,0
764743264647464,dtd,0
0A166F72672E626974636F696E2E7072,wallet,0
23407E5E,vbe,0
4D53487C4253487C,hl7,0
70777264617461,pwrdata,0
1a08,arc,0
2d2d2d2d2d424547494e20504750205055424c4943204b454920424c4f434b2d2d2d2d2d,asc,0
aaaaaaaa,sys,0
